"sim","rank","abund","nparts","s0","n0"
1,1,13,"1850",3,149
1,2,30,"1850",3,149
1,3,106,"1850",3,149
2,1,29,"1850",3,149
2,2,32,"1850",3,149
2,3,88,"1850",3,149
3,1,18,"1850",3,149
3,2,40,"1850",3,149
3,3,91,"1850",3,149
4,1,11,"1850",3,149
4,2,68,"1850",3,149
4,3,70,"1850",3,149
5,1,7,"1850",3,149
5,2,64,"1850",3,149
5,3,78,"1850",3,149
6,1,24,"1850",3,149
6,2,55,"1850",3,149
6,3,70,"1850",3,149
7,1,37,"1850",3,149
7,2,43,"1850",3,149
7,3,69,"1850",3,149
8,1,14,"1850",3,149
8,2,67,"1850",3,149
8,3,68,"1850",3,149
9,1,7,"1850",3,149
9,2,40,"1850",3,149
9,3,102,"1850",3,149
10,1,7,"1850",3,149
10,2,23,"1850",3,149
10,3,119,"1850",3,149
11,1,23,"1850",3,149
11,2,58,"1850",3,149
11,3,68,"1850",3,149
12,1,18,"1850",3,149
12,2,34,"1850",3,149
12,3,97,"1850",3,149
13,1,16,"1850",3,149
13,2,33,"1850",3,149
13,3,100,"1850",3,149
14,1,35,"1850",3,149
14,2,48,"1850",3,149
14,3,66,"1850",3,149
15,1,38,"1850",3,149
15,2,54,"1850",3,149
15,3,57,"1850",3,149
16,1,46,"1850",3,149
16,2,48,"1850",3,149
16,3,55,"1850",3,149
17,1,8,"1850",3,149
17,2,46,"1850",3,149
17,3,95,"1850",3,149
18,1,24,"1850",3,149
18,2,41,"1850",3,149
18,3,84,"1850",3,149
19,1,8,"1850",3,149
19,2,24,"1850",3,149
19,3,117,"1850",3,149
20,1,2,"1850",3,149
20,2,73,"1850",3,149
20,3,74,"1850",3,149
21,1,11,"1850",3,149
21,2,38,"1850",3,149
21,3,100,"1850",3,149
22,1,21,"1850",3,149
22,2,43,"1850",3,149
22,3,85,"1850",3,149
23,1,21,"1850",3,149
23,2,51,"1850",3,149
23,3,77,"1850",3,149
24,1,21,"1850",3,149
24,2,45,"1850",3,149
24,3,83,"1850",3,149
25,1,23,"1850",3,149
25,2,36,"1850",3,149
25,3,90,"1850",3,149
26,1,37,"1850",3,149
26,2,54,"1850",3,149
26,3,58,"1850",3,149
27,1,26,"1850",3,149
27,2,41,"1850",3,149
27,3,82,"1850",3,149
28,1,7,"1850",3,149
28,2,36,"1850",3,149
28,3,106,"1850",3,149
29,1,27,"1850",3,149
