"sim","rank","abund","nparts","s0","n0"
1,1,6568,"109904321",3,36316
1,2,13101,"109904321",3,36316
1,3,16647,"109904321",3,36316
2,1,8991,"109904321",3,36316
2,2,9501,"109904321",3,36316
2,3,17824,"109904321",3,36316
3,1,8045,"109904321",3,36316
3,2,9918,"109904321",3,36316
3,3,18353,"109904321",3,36316
4,1,5863,"109904321",3,36316
4,2,6763,"109904321",3,36316
4,3,23690,"109904321",3,36316
5,1,2344,"109904321",3,36316
5,2,13277,"109904321",3,36316
5,3,20695,"109904321",3,36316
6,1,1376,"109904321",3,36316
6,2,9683,"109904321",3,36316
6,3,25257,"109904321",3,36316
7,1,775,"109904321",3,36316
7,2,2642,"109904321",3,36316
7,3,32899,"109904321",3,36316
8,1,8164,"109904321",3,36316
8,2,13749,"109904321",3,36316
8,3,14403,"109904321",3,36316
9,1,840,"109904321",3,36316
9,2,16326,"109904321",3,36316
9,3,19150,"109904321",3,36316
10,1,383,"109904321",3,36316
10,2,11352,"109904321",3,36316
10,3,24581,"109904321",3,36316
11,1,3171,"109904321",3,36316
11,2,6674,"109904321",3,36316
11,3,26471,"109904321",3,36316
12,1,6190,"109904321",3,36316
12,2,7470,"109904321",3,36316
12,3,22656,"109904321",3,36316
13,1,154,"109904321",3,36316
13,2,15901,"109904321",3,36316
13,3,20261,"109904321",3,36316
14,1,8064,"109904321",3,36316
14,2,12088,"109904321",3,36316
14,3,16164,"109904321",3,36316
15,1,5165,"109904321",3,36316
15,2,10982,"109904321",3,36316
15,3,20169,"109904321",3,36316
16,1,145,"109904321",3,36316
16,2,453,"109904321",3,36316
16,3,35718,"109904321",3,36316
17,1,34,"109904321",3,36316
17,2,2558,"109904321",3,36316
17,3,33724,"109904321",3,36316
18,1,2531,"109904321",3,36316
18,2,13589,"109904321",3,36316
18,3,20196,"109904321",3,36316
19,1,138,"109904321",3,36316
19,2,389,"109904321",3,36316
19,3,35789,"109904321",3,36316
20,1,339,"109904321",3,36316
20,2,14127,"109904321",3,36316
20,3,21850,"109904321",3,36316
21,1,1197,"109904321",3,36316
21,2,7522,"109904321",3,36316
21,3,27597,"109904321",3,36316
22,1,5579,"109904321",3,36316
22,2,11050,"109904321",3,36316
22,3,19687,"109904321",3,36316
23,1,4174,"109904321",3,36316
23,2,7987,"109904321",3,36316
23,3,24155,"109904321",3,36316
24,1,3697,"109904321",3,36316
24,2,4252,"109904321",3,36316
24,3,28367,"109904321",3,36316
25,1,6680,"109904321",3,36316
25,2,7224,"109904321",3,36316
25,3,22412,"109904321",3,36316
26,1,7710,"109904321",3,36316
26,2,8172,"109904321",3,36316
26,3,20434,"109904321",3,36316
27,1,2196,"109904321",3,36316
27,2,11291,"109904321",3,36316
27,3,22829,"109904321",3,36316
28,1,5119,"109904321",3,36316
28,2,15063,"109904321",3,36316
28,3,16134,"109904321",3,36316
29,1,9679,"109904321",3,36316
29,2,12152,"109904321",3,36316
29,3,14485,"109904321",3,36316
30,1,6253,"109904321",3,36316
30,2,7666,"109904321",3,36316
30,3,22397,"109904321",3,36316
31,1,5147,"109904321",3,36316
31,2,6023,"109904321",3,36316
31,3,25146,"109904321",3,36316
32,1,2464,"109904321",3,36316
32,2,6107,"109904321",3,36316
32,3,27745,"109904321",3,36316
33,1,2836,"109904321",3,36316
33,2,8331,"109904321",3,36316
33,3,25149,"109904321",3,36316
34,1,8901,"109904321",3,36316
34,2,12169,"109904321",3,36316
34,3,15246,"109904321",3,36316
35,1,10163,"109904321",3,36316
35,2,12141,"109904321",3,36316
35,3,14012,"109904321",3,36316
36,1,100,"109904321",3,36316
36,2,16957,"109904321",3,36316
36,3,19259,"109904321",3,36316
37,1,8462,"109904321",3,36316
37,2,10768,"109904321",3,36316
37,3,17086,"109904321",3,36316
38,1,8199,"109904321",3,36316
38,2,11973,"109904321",3,36316
38,3,16144,"109904321",3,36316
39,1,7534,"109904321",3,36316
39,2,13381,"109904321",3,36316
39,3,15401,"109904321",3,36316
40,1,7203,"109904321",3,36316
40,2,8458,"109904321",3,36316
40,3,20655,"109904321",3,36316
41,1,6286,"109904321",3,36316
41,2,12246,"109904321",3,36316
41,3,17784,"109904321",3,36316
42,1,10874,"109904321",3,36316
42,2,12301,"109904321",3,36316
42,3,13141,"109904321",3,36316
43,1,5871,"109904321",3,36316
43,2,14405,"109904321",3,36316
43,3,16040,"109904321",3,36316
44,1,2302,"109904321",3,36316
44,2,6649,"109904321",3,36316
44,3,27365,"109904321",3,36316
45,1,3643,"109904321",3,36316
45,2,6560,"109904321",3,36316
45,3,26113,"109904321",3,36316
46,1,3110,"109904321",3,36316
46,2,7907,"109904321",3,36316
46,3,25299,"109904321",3,36316
47,1,4453,"109904321",3,36316
47,2,14652,"109904321",3,36316
47,3,17211,"109904321",3,36316
48,1,3808,"109904321",3,36316
48,2,8569,"109904321",3,36316
48,3,23939,"109904321",3,36316
49,1,2369,"109904321",3,36316
49,2,6264,"109904321",3,36316
49,3,27683,"109904321",3,36316
50,1,2302,"109904321",3,36316
50,2,8412,"109904321",3,36316
50,3,25602,"109904321",3,36316
51,1,351,"109904321",3,36316
51,2,6808,"109904321",3,36316
51,3,29157,"109904321",3,36316
52,1,3053,"109904321",3,36316
52,2,5218,"109904321",3,36316
52,3,28045,"109904321",3,36316
53,1,2089,"109904321",3,36316
53,2,3506,"109904321",3,36316
53,3,30721,"109904321",3,36316
54,1,1134,"109904321",3,36316
54,2,7435,"109904321",3,36316
54,3,27747,"109904321",3,36316
55,1,1988,"109904321",3,36316
55,2,6631,"109904321",3,36316
55,3,27697,"109904321",3,36316
56,1,3929,"109904321",3,36316
56,2,12024,"109904321",3,36316
56,3,20363,"109904321",3,36316
57,1,2315,"109904321",3,36316
57,2,8231,"109904321",3,36316
57,3,25770,"109904321",3,36316
58,1,2729,"109904321",3,36316
58,2,7570,"109904321",3,36316
58,3,26017,"109904321",3,36316
59,1,9297,"109904321",3,36316
59,2,9751,"109904321",3,36316
59,3,17268,"109904321",3,36316
60,1,6526,"109904321",3,36316
60,2,8597,"109904321",3,36316
60,3,21193,"109904321",3,36316
61,1,10674,"109904321",3,36316
61,2,11639,"109904321",3,36316
61,3,14003,"109904321",3,36316
