"sim","rank","abund","nparts","s0","n0"
1,1,68,"507432854",5,1097
1,2,85,"507432854",5,1097
1,3,101,"507432854",5,1097
1,4,406,"507432854",5,1097
1,5,437,"507432854",5,1097
2,1,8,"507432854",5,1097
2,2,70,"507432854",5,1097
2,3,122,"507432854",5,1097
2,4,381,"507432854",5,1097
2,5,516,"507432854",5,1097
3,1,2,"507432854",5,1097
3,2,50,"507432854",5,1097
3,3,78,"507432854",5,1097
3,4,167,"507432854",5,1097
3,5,800,"507432854",5,1097
4,1,95,"507432854",5,1097
4,2,200,"507432854",5,1097
4,3,200,"507432854",5,1097
4,4,251,"507432854",5,1097
4,5,351,"507432854",5,1097
5,1,106,"507432854",5,1097
5,2,120,"507432854",5,1097
5,3,125,"507432854",5,1097
5,4,247,"507432854",5,1097
5,5,499,"507432854",5,1097
6,1,52,"507432854",5,1097
6,2,60,"507432854",5,1097
6,3,127,"507432854",5,1097
6,4,313,"507432854",5,1097
6,5,545,"507432854",5,1097
7,1,143,"507432854",5,1097
7,2,198,"507432854",5,1097
7,3,234,"507432854",5,1097
7,4,257,"507432854",5,1097
7,5,265,"507432854",5,1097
8,1,37,"507432854",5,1097
8,2,49,"507432854",5,1097
8,3,248,"507432854",5,1097
8,4,266,"507432854",5,1097
8,5,497,"507432854",5,1097
9,1,25,"507432854",5,1097
9,2,118,"507432854",5,1097
9,3,193,"507432854",5,1097
9,4,292,"507432854",5,1097
9,5,469,"507432854",5,1097
10,1,67,"507432854",5,1097
10,2,132,"507432854",5,1097
10,3,138,"507432854",5,1097
10,4,252,"507432854",5,1097
10,5,508,"507432854",5,1097
11,1,40,"507432854",5,1097
11,2,110,"507432854",5,1097
11,3,197,"507432854",5,1097
11,4,348,"507432854",5,1097
11,5,402,"507432854",5,1097
12,1,77,"507432854",5,1097
12,2,189,"507432854",5,1097
12,3,229,"507432854",5,1097
12,4,231,"507432854",5,1097
12,5,371,"507432854",5,1097
13,1,9,"507432854",5,1097
13,2,104,"507432854",5,1097
13,3,128,"507432854",5,1097
13,4,410,"507432854",5,1097
13,5,446,"507432854",5,1097
14,1,126,"507432854",5,1097
14,2,134,"507432854",5,1097
14,3,134,"507432854",5,1097
14,4,235,"507432854",5,1097
14,5,468,"507432854",5,1097
15,1,15,"507432854",5,1097
15,2,65,"507432854",5,1097
15,3,252,"507432854",5,1097
15,4,346,"507432854",5,1097
15,5,419,"507432854",5,1097
16,1,43,"507432854",5,1097
16,2,65,"507432854",5,1097
16,3,66,"507432854",5,1097
16,4,242,"507432854",5,1097
16,5,681,"507432854",5,1097
17,1,134,"507432854",5,1097
17,2,178,"507432854",5,1097
17,3,194,"507432854",5,1097
17,4,209,"507432854",5,1097
17,5,382,"507432854",5,1097
18,1,18,"507432854",5,1097
18,2,127,"507432854",5,1097
18,3,137,"507432854",5,1097
18,4,267,"507432854",5,1097
18,5,548,"507432854",5,1097
19,1,125,"507432854",5,1097
19,2,142,"507432854",5,1097
19,3,149,"507432854",5,1097
19,4,279,"507432854",5,1097
19,5,402,"507432854",5,1097
20,1,1,"507432854",5,1097
