"sim","rank","abund","nparts","s0","n0"
1,1,1,"18",5,13
1,2,1,"18",5,13
1,3,1,"18",5,13
1,4,4,"18",5,13
1,5,6,"18",5,13
2,1,2,"18",5,13
2,2,2,"18",5,13
2,3,2,"18",5,13
2,4,2,"18",5,13
2,5,5,"18",5,13
3,1,1,"18",5,13
3,2,2,"18",5,13
3,3,2,"18",5,13
3,4,2,"18",5,13
3,5,6,"18",5,13
5,1,2,"18",5,13
5,2,2,"18",5,13
5,3,3,"18",5,13
5,4,3,"18",5,13
5,5,3,"18",5,13
7,1,1,"18",5,13
7,2,1,"18",5,13
7,3,1,"18",5,13
7,4,2,"18",5,13
7,5,8,"18",5,13
8,1,1,"18",5,13
8,2,1,"18",5,13
8,3,1,"18",5,13
8,4,3,"18",5,13
8,5,7,"18",5,13
9,1,1,"18",5,13
9,2,3,"18",5,13
9,3,3,"18",5,13
9,4,3,"18",5,13
9,5,3,"18",5,13
10,1,1,"18",5,13
10,2,1,"18",5,13
10,3,3,"18",5,13
10,4,3,"18",5,13
10,5,5,"18",5,13
11,1,1,"18",5,13
11,2,2,"18",5,13
11,3,3,"18",5,13
11,4,3,"18",5,13
11,5,4,"18",5,13
12,1,1,"18",5,13
12,2,1,"18",5,13
12,3,1,"18",5,13
12,4,5,"18",5,13
12,5,5,"18",5,13
13,1,1,"18",5,13
13,2,1,"18",5,13
13,3,2,"18",5,13
13,4,3,"18",5,13
13,5,6,"18",5,13
19,1,1,"18",5,13
19,2,2,"18",5,13
19,3,2,"18",5,13
19,4,4,"18",5,13
19,5,4,"18",5,13
24,1,1,"18",5,13
24,2,1,"18",5,13
24,3,2,"18",5,13
24,4,2,"18",5,13
24,5,7,"18",5,13
25,1,1,"18",5,13
25,2,1,"18",5,13
25,3,1,"18",5,13
25,4,1,"18",5,13
25,5,9,"18",5,13
40,1,1,"18",5,13
40,2,1,"18",5,13
40,3,2,"18",5,13
40,4,4,"18",5,13
40,5,5,"18",5,13
41,1,1,"18",5,13
41,2,2,"18",5,13
41,3,2,"18",5,13
41,4,3,"18",5,13
41,5,5,"18",5,13
43,1,2,"18",5,13
43,2,2,"18",5,13
43,3,2,"18",5,13
43,4,3,"18",5,13
43,5,4,"18",5,13
50,1,1,"18",5,13
50,2,1,"18",5,13
50,3,3,"18",5,13
50,4,4,"18",5,13
50,5,4,"18",5,13
